matnr;bwkey;bwtar;stprs;peinh;bklas
000000000004000069;E110;;38000;1000;3000
000000000004000071;E110;;14116.62;1000;3000
000000000004000072;E110;;28500;1000;3000
000000000004000073;E110;;31012.43;1000;3000
000000000004000074;E110;;28999.98;1000;3000
000000000004000077;E110;;48499.95;1000;3000
000000000004000078;E110;;114531.04;1000;3000
000000000004000080;E110;;5242000;1000;3000
000000000004000081;E110;;9838370.41;1000;3000
000000000004000083;E110;;92669.6;1000;3000
000000000004000084;E110;;25952.33;1000;3000
000000000004000085;E110;;20508.64;1000;3000
000000000004000086;E110;;2386664.81;1000;3000
000000000004000088;E110;;107635.51;1000;3000
000000000004000089;E110;;10940019.2;1000;3000
000000000004000090;E110;;21243730;1000;3000
000000000004000092;E110;;12727.45;1000;3000
000000000004000093;E110;;1192416.33;1000;3000
000000000004000095;E110;;39054.17;1000;3000
000000000004000096;E110;;3500675.97;1000;3000
000000000004000097;E110;;7425000;1000;3000
000000000004000100;E110;;28;1;3000
000000000004000101;E110;;776207.89;1000;3000
000000000004000102;E110;;1475671.94;1000;3000
000000000004000103;E110;;2135962.75;1000;3000
000000000004000104;E110;;21998.26;1000;3000
000000000004000105;E110;;19806.12;1000;3000
000000000004000106;E110;;31991.75;1000;3000
000000000004000107;E110;;75000;1000;3000
000000000004000108;E110;;37355.81;1000;3000
000000000004000109;E110;;43653.76;1000;3000
000000000004000110;E110;;44261.79;1000;3000
000000000004000111;E110;;43648.48;1000;3000
000000000004000112;E110;;1961612.46;1000;3000
000000000004000113;E110;;19500.01;1000;3000
000000000004000115;E110;;980000;1000;3000
000000000004000116;E110;;12000;1000;3000
000000000004000118;E110;;17755.84;1000;3000
000000000004000119;E110;;45000;1000;3000
000000000004000120;E110;;4503307.89;1000;3000
000000000004000121;E110;;3341146.52;1000;3000
000000000004000124;E110;;33294.74;1000;3000
000000000004000125;E110;;20837.15;1000;3000
000000000004000127;E110;;18430;1000;3000
000000000004000128;E110;;19545.79;1000;3000
000000000004000129;E110;;19160;1000;3000
000000000004000130;E110;;22052.17;1000;3000
000000000004000131;E110;;3784720.28;1000;3000
000000000004000132;E110;;165323.82;1000;3000
000000000004000133;E110;;235248.04;1000;3000
000000000004000134;E110;;6886823.47;1000;3000
000000000004000136;E110;;2692931.63;1000;3000
000000000004000137;E110;;1208034.33;1000;3000
000000000004000138;E110;;180000;1000;3000
000000000004000141;E110;;28000;1000;3000
000000000004000143;E110;;26060.8;1000;3000
000000000004000144;E110;;9900291.8;1000;3000
000000000004000145;E110;;102803.41;1000;3000
000000000004000146;E110;;21069.54;1000;3000
000000000004000147;E110;;14000;1000;3000
000000000004000148;E110;;45000;1000;3000
000000000004000149;E110;;17000;1000;3000
000000000004000151;E110;;4203105.86;1000;3000
000000000004000152;E110;;165560.69;1000;3000
000000000004000153;E110;;205033.48;1000;3000
000000000004000154;E110;;215058.87;1000;3000
000000000004000155;E110;;79626.2;1000;3000
000000000004000156;E110;;1199439.51;1000;3000
000000000004000158;E110;;39257.85;1000;3000
000000000004000161;E110;;9960000;1000;3000
000000000004000162;E110;;28386459.47;1000;3000
000000000004000163;E110;;5110000;1000;3000
000000000004000164;E110;;21800000;1000;3000
000000000004000165;E110;;799999.95;1000;3000
000000000004000167;E110;;16358.39;1000;3000
000000000004000168;E110;;54936.26;1000;3000
000000000004000169;E110;;18366.1;1000;3000
000000000004000170;E110;;8106227.34;1000;3000
000000000004000172;E110;;871986.83;1000;3000
000000000004000173;E110;;520003.16;1000;3000
000000000004000175;E110;;17872.92;1000;3000
000000000004000177;E110;;252216.38;1000;3000
000000000004000178;E110;;397061.2;1000;3000
000000000004000179;E110;;72500.34;1000;3000
000000000004000180;E110;;283428.59;1000;3000
000000000004000181;E110;;65000;1000;3000
000000000004000182;E110;;4517619.82;1000;3000
000000000004000183;E110;;21055000;1000;3000
000000000004000184;E110;;461671.48;1000;3000
000000000004000185;E110;;6074426;1000;3000
000000000004000188;E110;;43887.67;1000;3000
000000000004000189;E110;;117635.51;1000;3000
000000000004000191;E110;;19315.13;1000;3000
000000000004000192;E110;;3954249.95;1000;3000
000000000004000193;E110;;421571.87;1000;3000
000000000004000194;E110;;294765.19;1000;3000
000000000004000195;E110;;22000;1000;3000
000000000004000196;E110;;60540.54;1000;3000
000000000004000197;E110;;4300040.59;1000;3000
000000000004000198;E110;;1447821.89;1000;3000
000000000004000199;E110;;38994.62;1000;3000
000000000004000200;E110;;54999.77;1000;3000
000000000004000201;E110;;36000.25;1000;3000
000000000004000202;E110;;35000;1000;3000
000000000004000203;E110;;209902.47;1000;3000
000000000004000204;E110;;19800000;1000;3000
000000000004000205;E110;;336688.36;1000;3000
000000000004000209;E110;;33000;1000;3000
000000000004000210;E110;;16649.04;1000;3000
000000000004000211;E110;;649810.85;1000;3000
